bus_id,x,y,v_nom,state,county,balancing_area,nerc_reg,reeds_ba,sub_id,load_mean_mw,load_peak_mw,n_lines,total_thermal_mva,max_line_mva,mean_line_length_km,solar_mean_cf,solar_p_nom_max_mw,wind_mean_cf,wind_p_nom_max_mw,renewable_cf_combined,renewable_potential_mw,lmp_mean,lmp_p95,lmp_std,lmp_spike_hrs,lmp_neg_hrs,renewable_sat,load_imbalance,congestion_score,lmp_score,composite,dominant_tech,lmp_p75,pct_protected,flood_risk,land_cost_k,land_cost_index,buildability
2020000,-124.094,40.8174,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35827,26.52518869177063,46.4208,2.0,382.53999999999996,208.75,4.685409824710958,0.23358603,16.708839870318098,0.22938484,14.170175696349885,0.23190555,30.87901556666798,93.75,150.0,74.18030325702604,19,4,20.1,60.6,13.070932118112275,69.5908648318625,38.71735923740707,Solar+BESS,150.0,42,1,80,72.3,Limited
2020001,-124.205,40.6101,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35828,28.77431215520202,50.3569,2.0,453.89,243.64,38.484459365392816,0.23928718,248.61215455843103,0.62814295,423.0765042014417,0.3948295,671.6886587598727,4.028672277607637,150.0,77.48804391095399,19,4,100.0,65.7,12.97785225460911,46.11001457521597,63.242573365965015,Wind+BESS,11.86237746412202,42,1,80,72.3,Limited
2020002,-124.203,40.6799,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35829,0.0,0.0,3.0,513.8599999999999,270.21,4.884869914453326,0.2378307,44.52142200661797,0.30931947,232.66554110078582,0.2664262,277.1869631074038,3.075129220236299,150.659448863987,80.93640643797012,19,4,38.3,0.0,100.0,46.13144097894463,42.631287928760116,Congestion Relief,12.514861658393388,42,1,80,72.3,Limited
2020003,-124.203,40.6799,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35829,26.513128636831865,46.3997,1.0,0.01,0.01,0.0,0.2378307,44.52142200661797,0.30931947,232.66554110078582,0.2664262,277.1869631074038,62.5,150.0,75.54152327780024,19,4,38.3,60.5,100.0,61.429071682225455,60.815814069416284,Wind+BESS,150.0,42,1,80,72.3,Limited
2020004,-124.094,40.8106,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35830,23.86000675289001,41.7565,3.0,570.88,202.79,18.81123683224133,0.24016146,56.94858788181838,0.33850616,106.37049240468862,0.27949935,163.31908028650702,93.75,150.0,74.18030325702604,19,4,45.2,54.5,13.070932118112275,69.5908648318625,45.97735908481918,Wind+BESS,150.0,42,1,80,72.3,Limited
2020005,-124.134,41.9152,345.0,California,p06015,PACW,WECC_CA,CISO,35831,0.0,0.0,1.0,0.01,0.01,0.0,0.2358402,45.21380251902071,0.5040028,263.05778533129063,0.34310526,308.27158785031133,31.25,150.0,62.22766754985801,19,4,78.6,0.0,100.0,52.102214456471565,57.93044121282752,Congestion Relief,0.0,58,1,50,81.7,Restricted
2020006,-124.134,41.9152,138.0,California,p06015,PACW,WECC_CA,CISO,35831,0.0,0.0,1.0,179.53,179.53,100.03456121551463,0.2358402,45.21380251902071,0.5040028,263.05778533129063,0.34310526,308.27158785031133,31.25,150.0,62.22766754985801,19,4,78.6,0.0,0.005570099704784715,52.102214456471565,37.931555232768474,Congestion Relief,0.0,58,1,50,81.7,Restricted
2020007,-124.134,41.9152,345.0,California,p06015,PACW,WECC_CA,CISO,35831,31.035495169966808,54.3141,1.0,0.01,0.01,0.0,0.2358402,45.21380251902071,0.5040028,263.05778533129063,0.34310526,308.27158785031133,150.0,150.0,0.0,19,4,78.6,70.9,100.0,78.58739132701493,80.95247658693619,Wind+BESS,150.0,58,1,50,81.7,Restricted
2020008,-124.042,41.0489,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35832,0.0,0.0,2.0,170.64999999999998,170.64,15.002867462847108,0.2370948,26.0821206533447,0.4244637,215.0301305656705,0.31204236,241.1122512190152,93.75,150.0,74.18030325702604,19,4,62.3,0.0,100.0,69.5908648318625,55.72317327154828,Congestion Relief,150.0,42,1,80,72.3,Limited
2020009,-124.042,41.0489,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35832,24.04693239098089,42.0837,1.0,0.01,0.01,0.0,0.2370948,26.0821206533447,0.4244637,215.0301305656705,0.31204236,241.1122512190152,150.0,150.0,0.0,19,4,62.3,54.9,100.0,78.58739132701493,71.24747857057876,Wind+BESS,150.0,42,1,80,72.3,Limited
2020010,-123.749,40.0947,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35833,0.0,0.0,4.0,679.49,239.36,40.340573721356265,0.24505429,125.68032557235104,0.478082,385.5012392997344,0.33826536,511.1815648720854,16.12963417200587,132.51734560250722,43.07162069331382,19,4,76.1,0.0,100.0,46.58001657708215,55.951001636949634,Congestion Relief,4.860317309190936,42,1,80,72.3,Limited
2020011,-123.749,40.0947,138.0,California,p06023,CISO-PGAE,WECC_CA,CISO,35833,10.069802792720616,17.6228,1.0,0.01,0.01,0.0,0.24505429,125.68032557235104,0.478082,385.5012392997344,0.33826536,511.1815648720854,150.0,150.0,0.0,19,4,76.1,23.0,100.0,78.58739132701493,68.10247658693619,Congestion Relief,150.0,42,1,80,72.3,Limited
2020012,-123.803,39.2883,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35834,7.83876873068559,13.7183,1.0,0.01,0.01,0.0,0.24698053,50.57284885091714,0.6784547,361.90840201917206,0.4195702,412.4812508700892,150.0,150.0,0.0,23,5,100.0,17.9,100.0,78.58739132701493,75.19247826540298,Congestion Relief,150.0,36,1,100,67.9,Limited
